id,title,recommended_visual,final_visual,current_taxonomy,inferred_gap_type,inferred_source_type,inferred_cause_type,current_engine_visual,current_engine_candidate_id,current_engine_workflow,resolved_by_current_engine,active_gap,still_no_candidate,engine_error,source_type_manual,cause_type_manual,action_hint_manual,generalizable_manual,note
1,교육청 회의 오찬 장소 정하기,🤝,🍴,workflow_mismatch,inferred_workflow_boundary,CANDIDATE_WRONG_TOP,action_not_captured,🤝,meeting,meeting,false,true,false,false,,,,,회의는 맥락이고 실제 행동은 오찬 장소 선정
2,식생활교육 보도자료 확인,📄,📰,action_vs_object,inferred_workflow_boundary,CANDIDATE_WRONG_TOP,object_priority,📄,document_review,document,false,true,false,false,,,,,확인의 대상인 보도자료에 중점
3,회의실 예약,chair (gray),💻,workflow_mismatch,inferred_workflow_boundary,CANDIDATE_WRONG_TOP,interface_ignored,chair (gray),room_cleanup,room_cleanup,false,true,false,false,,,,,회의 당일 회의실 세팅이 아닌 행정 내부 시스템에 의한 예약이 실제 행동임
4,지피터스 AI 스터디 신청,🧑‍🏫,robot (orange),personal_preference,inferred_no_candidate,PHILOSOPHY_MISMATCH,object_priority,🧑‍🏫,training_session_attendance,training_session_attendance,false,true,false,false,,,,,"스터디 대상에 중점, 지피터스라는 회사의 대표 색이 orange 임."
5,알뜰폰 할인 종료일,없음,day calendar,no_candidate,inferred_no_candidate,CANDIDATE_ABSENT,catalog_gap,📅,work_calendar_organization,work_calendar_organization,false,true,false,false,,,,,혜택 마감일을 특정함
7,본인인증화면 수정 제안,qr-code,📞 or 📧,boundary_ambiguity,inferred_ambiguous_channel,CANDIDATE_WRONG_TOP,object_vs_channel,qr-code,qr_code_scan_auth,qr_code_scan_auth,false,true,false,false,,,,,화면을 수정해달라는 제안을 전화로 하는 행동임
8,"4/9, 24 출장 여비 등록",💰,💻,action_vs_object,inferred_workflow_boundary,CANDIDATE_WRONG_TOP,interface_ignored,💰,salary_system,salary_system,false,true,false,false,,,,,"출장 여비 등록은 급여 관련 업무가 아니며, 개인적 출장 내역을 행정 내부 시스템으로 등록하는 행위임"
9,자치구 담당자 공문 안내 협조 요청,📄,📧,channel_vs_object,inferred_workflow_boundary,CANDIDATE_WRONG_TOP,object_vs_channel,📄,document_request,document,false,true,false,false,,,,,공문을 전파해줄 것을 메일로 요청하는 것이 실제 행위임
11,민방위 대피 훈련,mop-bucket (brown),person running (green),action_vs_object,inferred_no_candidate,PHILOSOPHY_MISMATCH,action_not_captured,mop-bucket (brown),room_cleaning,room_cleaning,false,true,false,false,,,,,"긴급시 외부로 대피 훈련하는 것이 실제 행위, 초록색 비상탈출구에서 연상"
12,보도자료 초안 검토 요청,📄,📧 or 📞,boundary_ambiguity,inferred_ambiguous_channel,CANDIDATE_WRONG_TOP,object_vs_channel,📄,review_request,document,false,true,false,false,,,,,홍보 담당자에게 전화 혹은 이메일로 초안 검토를 요청하는 것이 실제 행위
13,서울시 누리집 분야별 새소식 게시글 예약,📌,social media post (blue),action_vs_object,inferred_no_candidate,PHILOSOPHY_MISMATCH,action_not_captured,📌,publication_posting,broadcast_notice,false,true,false,false,,,,,온라인 게시판을 떠오르는 아이콘(서울시 누리집 대표 색이 파란색임)
16,창의 정책 홍보 영상 제출,📝,🎥,action_vs_object,inferred_no_candidate,CANDIDATE_WRONG_TOP,object_priority,📝,document_edit,document,false,true,false,false,,,,,제출 대상인 영상에 중점
18,"커피, 차 픽업",🍰,coffee paper cup (brown),action_vs_object,inferred_no_candidate,PHILOSOPHY_MISMATCH,action_not_captured,🍰,snack_pickup,snack_pickup,false,true,false,false,,,,,종이 일회용 음료를 픽업하는 것이므로 케이크가 아닌 음료잔 선택(커피색인 갈색 연상)
19,초단기근로자 간식 관련 전달,📄,🍬 or 🗣️,boundary_ambiguity,inferred_workflow_boundary,CANDIDATE_WRONG_TOP,object_vs_channel,📄,document_review,document,false,true,false,false,,,,,탕비실의 간식 구매를 담당하는 근로자에게 간식 구매 관련 사항을 전달하는 행위 혹은 간식을 떠오르는 사탕에 중점을 둠
20,과일간식 짐 차에 싣기,🍱,🍇 or 📦,personal_preference,inferred_workflow_boundary,PHILOSOPHY_MISMATCH,object_priority,🍱,food_preparation,food_preparation,false,true,false,false,,,,,도시락은 과일간식의 이미지와 거리가 멈. 과일 이모지 혹은 과일간식을 포장한 상자 연상
21,재택 필요 자료 드라이브 업로드,📁,folder arrow up (yellow),personal_preference,inferred_no_candidate,PHILOSOPHY_MISMATCH,object_priority,📁,folder_organization,folder_organization,false,true,false,false,,,,,"업로드 행위에 중점, 노란색 폴더 연상."
23,노션 강의 수강,document (orange),🧑‍🏫 or notion,boundary_ambiguity,inferred_workflow_boundary,CANDIDATE_WRONG_TOP,object_priority,document (orange),notion_docs_touchup,notion_docs_touchup,false,true,false,false,,,,,강의 수강 행위 혹은 강의의 주제에 중점을 둠
36,을지훈련 매트리스 상태 확인,📄,🛏️,personal_preference,inferred_no_candidate,PHILOSOPHY_MISMATCH,object_priority,📄,document_review,document,false,true,false,false,,,,,"문서 작업이 아닌 매트리스라는 물품 상태 확인하는 것으로, 매트리스와 비슷한 침대 이미지  활용"
37,헌혈 학습시간 인정 상신,🗣️,📄 or 🩸,personal_preference,inferred_workflow_boundary,PHILOSOPHY_MISMATCH,object_priority,🗣️,document_reporting,document,false,true,false,false,,,,,공문 상신이라는 문서 작업에 중점. 혹은 헌혈의 이미지 연상
38,비상소집훈련 참석,🧑‍🏫,🚨,action_vs_object,inferred_no_candidate,PHILOSOPHY_MISMATCH,action_not_captured,🧑‍🏫,training_session_attendance,training_session_attendance,false,true,false,false,,,,,사이렌 이미지가 비상소집을 연상시킴.
40,표창 제작시기 확인,📄,calendar,object_vs_status,inferred_no_candidate,CANDIDATE_WRONG_TOP,object_priority,📄,document_review,document,false,true,false,false,,,,,"일반적으로 일정 확인은 확인 대상에 중점을 두나, 표창에 적절한 것이 없어 달력 아이콘 선택함"
41,탕비실 간식 선호 조사,🍱,🍬,action_vs_object,inferred_no_candidate,CANDIDATE_WRONG_TOP,object_priority,🍱,food_preparation,food_preparation,false,true,false,false,,,,,간식은 사탕이나 케이크 이모지가 적절함
47,교육청 주무관 안내 협조 요청,📄,📞,channel_vs_object,inferred_workflow_boundary,CANDIDATE_WRONG_TOP,object_vs_channel,📄,document_request,document,false,true,false,false,,,,,전화로 하기 때문임. 그러나 공문으로 협조 요청시 문서 이모지가 적절할 수 있음
50,공문 수신자 지정 관련 알아보기,📝,user squares (grey),personal_preference,inferred_no_candidate,PHILOSOPHY_MISMATCH,object_priority,📝,document_edit,document,false,true,false,false,,,,,지정해야 할 ‘수신자’를 확인하는 것으로 이를 연상하는 아이콘 사용함.
51,공익감사단 4월 수당 신청,💰,📝,personal_preference,inferred_workflow_boundary,PHILOSOPHY_MISMATCH,object_vs_channel,💰,salary_system,salary_system,false,true,false,false,,,,,"해당 업무는 salary system에 해당하지 않으며, 감사과에 수당 지급 요청 공문을 보내야하는 업무를 연상하는 이모지 사용함"
52,단기위탁 교육 신청 문의,📞,💬,channel_vs_object,inferred_workflow_boundary,CANDIDATE_WRONG_TOP,object_vs_channel,📞,phone_call,communication,false,true,false,false,,,,,메신저를 통했기 때문임. 전화 문의라면 전화기 이모지 사용했을 것임.
53,바이브코딩 아이디어 브레인스토밍,angle-brackets-solidus (blue),🧠,action_vs_object,inferred_workflow_boundary,CANDIDATE_WRONG_TOP,object_priority,angle-brackets-solidus (blue),coding,coding,false,true,false,false,,,,,아이디어를 구상하는 행위에 중점을 둠
54,제주도 비행기 예매,없음,✈️ or ticket airplane (blue),no_candidate,inferred_no_candidate,CANDIDATE_ABSENT,catalog_gap,,,,false,true,true,false,,,,,비행기 혹은 티켓을 연상하는 이모지 사용함
55,기차표 예매,grid-rectangle-2x3 (green),🚄,visual_mismatch,inferred_no_candidate,CANDIDATE_WRONG_TOP,,grid-rectangle-2x3 (green),spreadsheet_work,spreadsheet_work,false,true,false,false,,,,,"기차 표 예매, KTX 예매는 고속열차 이모지 사용함"
57,정보 공개 접수 확인,📄,💻,action_vs_object,inferred_workflow_boundary,CANDIDATE_WRONG_TOP,interface_ignored,📄,document_review,document,false,true,false,false,,,,,정보공개 청구 확인은 행정 내부 시스템 이용함
63,과장 주재 주간회의 참석,🤝,people meeting,action_vs_object,inferred_no_candidate,PHILOSOPHY_MISMATCH,action_not_captured,🤝,meeting,meeting,false,true,false,false,,,,,"부서, 기관 내부자들만 참석하는 회의는  악수 이모지보다 노션 아이콘 people meeting을 좀더 선호함"
73,센터별 운영실적 취합,없음,📊 or 📄,no_candidate,inferred_no_candidate,CANDIDATE_ABSENT,catalog_gap,,,,false,true,true,false,,,,,"‘실적’에 초점을 맞출 경우 그래프 이모지를, 일반적인 취합 행동에 초점을 맞출 경우 종이 이모지를 선호함"
74,운영지침 공문 발송,📄,document arrow right (red),action_vs_object,inferred_workflow_boundary,CANDIDATE_WRONG_TOP,action_not_captured,📄,document_distribution,document,false,true,false,false,,,,,‘공문 발송/송부’행위는 종이 이모지와 구분하여 노션 아이콘 document arrow right (red) 사용.
75,실적자료 제출 독촉,📄,📞,channel_vs_object,inferred_workflow_boundary,CANDIDATE_WRONG_TOP,object_vs_channel,📄,document_submission,document,false,true,false,false,,,,,자료 독촉은 보통 전화 통화를 통해 이루어짐.
76,결과보고서 제출 요청,📄,📞 or 💬 or 📧,boundary_ambiguity,inferred_ambiguous_channel,CANDIDATE_WRONG_TOP,object_vs_channel,📄,submission_request,document,false,true,false,false,,,,,"일반적인 제출 요청은 전화, 메신저, 이메일을 사용함. 간혹 공문을 발송할 때도 있음(이 경우 ‘제출 요청 공문 송부’라고 명시함)"
84,홍보물 시안 검토,📄,photo landscape,personal_preference,inferred_no_candidate,PHILOSOPHY_MISMATCH,visual_wrong_recall,📄,document_review,document,false,true,false,false,,,,,홍모물 류를 검토하는 작업은 노션 아이콘인 photo landscape 선호.(비쥬얼 후보 추가가 필요함)
85,홍보물 시안 수정 요청,📝,📞 or 💬 or 📧 or photo landscape,personal_preference,inferred_ambiguous_channel,PHILOSOPHY_MISMATCH,object_vs_channel,📝,collaborative_request,document,false,true,false,false,,,,,"수정 요청의 수단에 따라 전화, 메신저, 이메일 이모지 사용. 홍보물을 연상하는 photo landscape 도 사용 가능"
87,세금계산서 검토,📄,reciept (grey),visual_mismatch,inferred_no_candidate,CANDIDATE_WRONG_TOP,,📄,document_review,document,false,true,false,false,,,,,세금계산서는 문서가 아닌 영수증의 일종으로 인지함
89,위원회 회의 수당 지급,💰,💻,action_vs_object,inferred_workflow_boundary,CANDIDATE_WRONG_TOP,interface_ignored,💰,salary_system,salary_system,false,true,false,false,,,,,"위원회 참석, 회의, 검토 수당은 급여 업무와 무관하며, 행정 내부 시스템을 이용해 처리함"
92,강사 섭외 후보 추리기,🧑‍🏫,🧑‍🏫 or 📄,boundary_ambiguity,inferred_workflow_boundary,CANDIDATE_WRONG_TOP,action_not_captured,👩‍🏫,education_fieldwork,education_fieldwork,false,true,false,false,,,,,"강사 자체에 초점을 두거나, 강사 프로필 문서 검토 행위에 초점을 둠."
93,강사 섭외 진행,🧑‍🏫,🧑‍🏫 or 📧 or 📞,boundary_ambiguity,inferred_ambiguous_channel,CANDIDATE_WRONG_TOP,object_vs_channel,👩‍🏫,education_fieldwork,education_fieldwork,false,true,false,false,,,,,"강사 자체에 초점을 두거나, 섭외 행위 방식에 따라 여러 이모지 사용"
95,현장교육 모니터링 출장,👩‍🏫,💼,personal_preference,inferred_no_candidate,PHILOSOPHY_MISMATCH,interface_ignored,👩‍🏫,education_fieldwork,education_fieldwork,false,true,false,false,,,,,출장은 대부분 suitcase 이모지를 선호함
99,운영 관련 질의 응답,checkmark-circle (green),speech bubbles (blue),personal_preference,inferred_no_candidate,PHILOSOPHY_MISMATCH,visual_wrong_recall,checkmark-circle (green),survey_form,survey_form,false,true,false,false,,,,,질문에 답변을 다는 것을 묻고 답하는 말풍선으로 연상.
101,강사단 평가회 사전 준비 사항 리스트,👩‍🏫,checkmark list (red),personal_preference,inferred_no_candidate,PHILOSOPHY_MISMATCH,visual_wrong_recall,👩‍🏫,education_fieldwork,education_fieldwork,false,true,false,false,,,,,행사 관련 전반적인 사항을 확인하는 류의 제목에서는 checkmark list 선호.
104,운영평가 일정 안내,exclamation-circle (red),💬 or 📧 or 📞,boundary_ambiguity,inferred_ambiguous_channel,CANDIDATE_WRONG_TOP,object_vs_channel,exclamation-circle (red),urgent_notice,notification_ops,false,true,false,false,,,,,"일정 안내는 보통 메신저, 메일, 전화를 통해 처리됨."
105,센터 방문점검 실시,mop-bucket (brown),💼 or 📋,personal_preference,inferred_workflow_boundary,PHILOSOPHY_MISMATCH,visual_wrong_recall,mop-bucket (brown),room_cleaning,room_cleaning,false,true,false,false,,,,,센터로의 출장을 연상하는 서류가방 이모지 혹은 현장 점검을 연상하는 클립보드 이모지 사용함
106,센터 조직도 및 연락처 정비,📞,network,personal_preference,inferred_no_candidate,PHILOSOPHY_MISMATCH,object_vs_channel,📞,phone_call,communication,false,true,false,false,,,,,노션 아이콘 network 모양이 조직도를 연상시킴. 연락처 현행화에서는 전화 이모지를 사용하지 않는 것을 선호함.
108,세종 출장 KTX 예매,없음,🚄,no_candidate,inferred_no_candidate,CANDIDATE_ABSENT,catalog_gap,,,,false,true,true,false,,,,,"기차 표 예매, KTX 예매는 고속열차 이모지 사용함"
109,부산 출장 숙소 예약,없음,🏨,no_candidate,inferred_no_candidate,CANDIDATE_ABSENT,catalog_gap,,,,false,true,true,false,,,,,"숙소, 숙박을 연상하는 호텔 이모지를 사용함"
